fact_id,dataset_id,record_id,yearbook_year,statistical_year_start,statistical_year_end,institution,topic,dimension_label,metric,metric_path,numeric_value,text_value,value_kind,unit,source_row,source_column,quality_flag
fact_186ded1d0f307fc5394b2a2e,dataset_efc0d125c2b2d97c0c92652e,record_a45b224891f77e41dd9de6a9,2019,2018,2018,公安机关,criminal_cases,伪造、变造货币出售、购买、运输、持有、使用假币,比 重(%),比 重(%),0.02,0.02,number,%,14,3,auto_extracted
fact_b870fec53b0214fc7606e148,dataset_efc0d125c2b2d97c0c92652e,record_9855e645ef54a6785731e24e,2019,2018,2018,公安机关,criminal_cases,其 他,立案(起),立案(起),955471,955471,number,起,15,2,auto_extracted
fact_a5dc7b8c1826eb2c39bf2deb,dataset_efc0d125c2b2d97c0c92652e,record_9855e645ef54a6785731e24e,2019,2018,2018,公安机关,criminal_cases,其 他,比 重(%),比 重(%),18.85,18.85,number,%,15,3,auto_extracted
fact_60c05a28fe1fbbe71c9d79c0,dataset_0bd4a85bf959134ccfa1d5bb,record_cbe2abc214ec3b1c8b49ab99,2019,2018,2018,人民法院,court_statistics,总计,收 案,收 案,25054233,25054233,number,件,4,2,auto_extracted
fact_48c089473593789f92c7a494,dataset_0bd4a85bf959134ccfa1d5bb,record_cbe2abc214ec3b1c8b49ab99,2019,2018,2018,人民法院,court_statistics,总计,结 案,结 案,25168463,25168463,number,件,4,3,auto_extracted
fact_8b4ad0f1b6b5ef22bf96724a,dataset_0bd4a85bf959134ccfa1d5bb,record_cbe2abc214ec3b1c8b49ab99,2019,2018,2018,人民法院,court_statistics,总计,未 结,未 结,2831788,2831788,number,件,4,4,auto_extracted
fact_8a2b9c9a19ac052bf3945f74,dataset_f4cfc5945e70100ba3e6ea62,record_c93b1abda3d1454d683373bd,2019,2018,2018,其他,other,,合计,(截至2018年12月31日)/省 级/合计,34,34,number,截至2018年12月31日,5,1,auto_extracted;year_inferred
fact_5e6084970349f2d62dcb9e2e,dataset_f4cfc5945e70100ba3e6ea62,record_c93b1abda3d1454d683373bd,2019,2018,2018,其他,other,4直辖市 23 省 5自治区 2特别行政区,合计,地 级/合计,334,334,number,,5,3,auto_extracted;year_inferred
fact_18c39b644a30e71645c79438,dataset_f4cfc5945e70100ba3e6ea62,record_c93b1abda3d1454d683373bd,2019,2018,2018,其他,other,293地级市 7 地区 30自治州 3 盟,合计,县 级/合计,2851,2851,number,,5,5,auto_extracted;year_inferred
fact_f40a1ebd97f1091abd313df6,dataset_f4cfc5945e70100ba3e6ea62,record_c93b1abda3d1454d683373bd,2019,2018,2018,其他,other,970市辖区 375县级市 1 335 县 117自治县 49 旗 3自治旗 1特 区 1林 区,合计,乡 级/合计,39945,39945,number,,5,7,auto_extracted;year_inferred
fact_09cf6f3acea2c046714e4c77,dataset_f4cfc5945e70100ba3e6ea62,record_fdbf69f295fb7966f542bc09,2019,2018,2018,其他,other,北 京市,合计,县 级/合计,16,16,number,,6,5,auto_extracted;year_inferred
fact_0da12dfca297d0b028a26cc3,dataset_f4cfc5945e70100ba3e6ea62,record_fdbf69f295fb7966f542bc09,2019,2018,2018,其他,other,16市辖区,合计,乡 级/合计,333,333,number,,6,7,auto_extracted;year_inferred
fact_f6b0dbd7d8fd4ace4d4803bb,dataset_f4cfc5945e70100ba3e6ea62,record_fdbf69f295fb7966f542bc09,2019,2018,2018,其他,other,143镇 33乡 5民族乡 152街道,人口 (万人),人口 (万人),1300,1300,number,万人,6,9,auto_extracted;year_inferred
fact_69a4270e731b9c9dbc670d25,dataset_f4cfc5945e70100ba3e6ea62,record_7141df9513bd890bc4031f3f,2019,2018,2018,其他,other,天 津市,合计,县 级/合计,16,16,number,,7,5,auto_extracted;year_inferred
fact_8484892de13a7d1b36a2b777,dataset_f4cfc5945e70100ba3e6ea62,record_7141df9513bd890bc4031f3f,2019,2018,2018,其他,other,16市辖区,合计,乡 级/合计,249,249,number,,7,7,auto_extracted;year_inferred
fact_ef54a01fef571512cc64014d,dataset_f4cfc5945e70100ba3e6ea62,record_7141df9513bd890bc4031f3f,2019,2018,2018,其他,other,126镇 2乡 1民族乡 120街道,人口 (万人),人口 (万人),996,996,number,万人,7,9,auto_extracted;year_inferred
fact_937308c97294bc2723f2a637,dataset_f4cfc5945e70100ba3e6ea62,record_b9b3d108160ce7c3b4367636,2019,2018,2018,其他,other,河北 省,合计,地 级/合计,11,11,number,,8,3,auto_extracted;year_inferred
fact_63e42d779be7df9a22167470,dataset_f4cfc5945e70100ba3e6ea62,record_b9b3d108160ce7c3b4367636,2019,2018,2018,其他,other,11地级市,合计,县 级/合计,168,168,number,,8,5,auto_extracted;year_inferred
fact_66a1f3ee9af61037c184a3f5,dataset_f4cfc5945e70100ba3e6ea62,record_b9b3d108160ce7c3b4367636,2019,2018,2018,其他,other,47市辖区 21县级市 94 县 6自治县,合计,乡 级/合计,2255,2255,number,,8,7,auto_extracted;year_inferred
fact_527b5c0d5176ece97ff7f975,dataset_f4cfc5945e70100ba3e6ea62,record_b9b3d108160ce7c3b4367636,2019,2018,2018,其他,other,1区公所 1 156 镇 744乡 46民族乡 308街道,人口 (万人),人口 (万人),7520,7520,number,万人,8,9,auto_extracted;year_inferred
fact_38700e2af1e0cca57ec3b3fe,dataset_f4cfc5945e70100ba3e6ea62,record_2bafb14176a2683186947970,2019,2018,2018,其他,other,山 西 省,合计,地 级/合计,11,11,number,,9,3,auto_extracted;year_inferred
fact_c4f99d11031deef93d0afc65,dataset_f4cfc5945e70100ba3e6ea62,record_2bafb14176a2683186947970,2019,2018,2018,其他,other,11地级市,合计,县 级/合计,117,117,number,,9,5,auto_extracted;year_inferred
fact_dd055ad04534de795a98863d,dataset_f4cfc5945e70100ba3e6ea62,record_2bafb14176a2683186947970,2019,2018,2018,其他,other,25市辖区 11县级市 81 县,合计,乡 级/合计,1398,1398,number,,9,7,auto_extracted;year_inferred
fact_fd4dece79851019b08dfd831,dataset_f4cfc5945e70100ba3e6ea62,record_2bafb14176a2683186947970,2019,2018,2018,其他,other,564镇 632乡 202街道,人口 (万人),人口 (万人),3501,3501,number,万人,9,9,auto_extracted;year_inferred
fact_821f08276056cf17f11f1fa4,dataset_f4cfc5945e70100ba3e6ea62,record_4ce578bcdc68c047a8b630e9,2019,2018,2018,其他,other,内蒙古自治区,合计,地 级/合计,12,12,number,,10,3,auto_extracted;year_inferred
fact_664fb0ff1c9e81ecee4ba250,dataset_f4cfc5945e70100ba3e6ea62,record_4ce578bcdc68c047a8b630e9,2019,2018,2018,其他,other,9地级市 3 盟,合计,县 级/合计,103,103,number,,10,5,auto_extracted;year_inferred
fact_1e40ba2d0503da109bacf0ae,dataset_f4cfc5945e70100ba3e6ea62,record_4ce578bcdc68c047a8b630e9,2019,2018,2018,其他,other,23市辖区 11县级市 17 县 49 旗 3自治旗,合计,乡 级/合计,1024,1024,number,,10,7,auto_extracted;year_inferred
fact_b5397f2e8ac5330d39aa8207,dataset_f4cfc5945e70100ba3e6ea62,record_4ce578bcdc68c047a8b630e9,2019,2018,2018,其他,other,508镇 99乡 153苏木 17民族乡 1民族苏木 246街道,人口 (万人),人口 (万人),2460,2460,number,万人,10,9,auto_extracted;year_inferred
fact_11f771eb841a467b25ff5838,dataset_f4cfc5945e70100ba3e6ea62,record_788e5bd105f8eefcff9c495d,2019,2018,2018,其他,other,辽 宁 省,合计,地 级/合计,14,14,number,,11,3,auto_extracted;year_inferred
fact_1b64bc7418c1b4f88ce41122,dataset_f4cfc5945e70100ba3e6ea62,record_788e5bd105f8eefcff9c495d,2019,2018,2018,其他,other,14地级市,合计,县 级/合计,100,100,number,,11,5,auto_extracted;year_inferred
fact_bc9671fac37ba8563d887f3c,dataset_f4cfc5945e70100ba3e6ea62,record_788e5bd105f8eefcff9c495d,2019,2018,2018,其他,other,59市辖区 16县级市 17 县 8自治县,合计,乡 级/合计,1531,1531,number,,11,7,auto_extracted;year_inferred
fact_a361bf5b1806898b7ea75b34,dataset_f4cfc5945e70100ba3e6ea62,record_788e5bd105f8eefcff9c495d,2019,2018,2018,其他,other,640镇 147乡 54民族乡 690街道,人口 (万人),人口 (万人),4245,4245,number,万人,11,9,auto_extracted;year_inferred
fact_73aef8a0dcd62ff44557538e,dataset_f4cfc5945e70100ba3e6ea62,record_476654bc2f9091816bf0c884,2019,2018,2018,其他,other,吉林省,合计,地 级/合计,9,9,number,,12,3,auto_extracted;year_inferred
fact_aa95f3f8ecd28f777efd7827,dataset_f4cfc5945e70100ba3e6ea62,record_476654bc2f9091816bf0c884,2019,2018,2018,其他,other,8地级市 1自治州,合计,县 级/合计,60,60,number,,12,5,auto_extracted;year_inferred
fact_9661486dd4edf6338f851f43,dataset_f4cfc5945e70100ba3e6ea62,record_476654bc2f9091816bf0c884,2019,2018,2018,其他,other,21市辖区 20县级市 16 县 3自治县,合计,乡 级/合计,933,933,number,,12,7,auto_extracted;year_inferred
fact_b8c13fc4a68e3bda1ebf66ca,dataset_f4cfc5945e70100ba3e6ea62,record_476654bc2f9091816bf0c884,2019,2018,2018,其他,other,426镇 154乡 28民族乡 325街道,人口 (万人),人口 (万人),2702,2702,number,万人,12,9,auto_extracted;year_inferred
fact_f4da69c58df0acbeedb824b6,dataset_f4cfc5945e70100ba3e6ea62,record_d408ebbc7758902690430fd7,2019,2018,2018,其他,other,黑龙江省,合计,地 级/合计,13,13,number,,18,3,auto_extracted;year_inferred
fact_8f13326cf88b0486b3ada457,dataset_f4cfc5945e70100ba3e6ea62,record_d408ebbc7758902690430fd7,2019,2018,2018,其他,other,12地级市 1地 区,合计,县 级/合计,128,128,number,,18,5,auto_extracted;year_inferred
fact_024337c2ca543de50bd8065a,dataset_f4cfc5945e70100ba3e6ea62,record_d408ebbc7758902690430fd7,2019,2018,2018,其他,other,65市辖区 20县级市 42 县 1自治县,合计,乡 级/合计,1196,1196,number,,18,7,auto_extracted;year_inferred
fact_db0db9eba2159791334c0982,dataset_f4cfc5945e70100ba3e6ea62,record_d408ebbc7758902690430fd7,2019,2018,2018,其他,other,541镇 295乡 52民族乡 308街道,人口 (万人),人口 (万人),3811,3811,number,万人,18,9,auto_extracted;year_inferred
fact_ee9a6d817eebf16dae103619,dataset_f4cfc5945e70100ba3e6ea62,record_850840448a2d94bc4a90b3ad,2019,2018,2018,其他,other,上 海 市,合计,县 级/合计,16,16,number,,19,5,auto_extracted;year_inferred
fact_d796262956e14f3c442572b9,dataset_f4cfc5945e70100ba3e6ea62,record_850840448a2d94bc4a90b3ad,2019,2018,2018,其他,other,16市辖区,合计,乡 级/合计,214,214,number,,19,7,auto_extracted;year_inferred
